"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"2300",13796,NA,"Chautauqua","NY",42.21353,-79.57444,"NAD83",3739,0,3739.5,1640,"ft",95,0,NA,35,1139.8,1139.8,499.87,"NAD83",617667.46,4674467.38,37.686989,"NY2302","31013154520000",-79.57444,42.21353,TRUE
"2302",13798,NA,"Chautauqua","NY",42.20333,-79.49007,"NAD83",3705,0,3765,1470,"ft",99,0,NA,37.22,1147.57,1147.57,448.06,"NAD83",624651.65,4673454.7,39.955816,"NY2304","31013154530000",-79.49007,42.20333,TRUE
"2303",13799,NA,"Chautauqua","NY",42.20801,-79.47866,"NAD83",3687,0,3685,1440,"ft",94,0,NA,34.44,1123.19,1123.19,438.91,"NAD83",625584.35,4673991.1,37.024154,"NY2305","31013154550000",-79.47866,42.20801,TRUE
"2304",13800,NA,"Chautauqua","NY",42.19032,-79.4958,"NAD83",3680,0,3667,1380,"ft",95,0,NA,35,1117.7,1117.7,420.62,"NAD83",624204.08,4672001.76,37.550628,"NY2306","31013154560000",-79.4958,42.19032,TRUE
"2305",13801,NA,"Chautauqua","NY",42.19081,-79.58246,"NAD83",3789,0,3789,1590,"ft",89,0,NA,31.67,1154.89,1154.89,484.63,"NAD83",617047.4,4671933.6,34.452233,"NY2307","31013154590000",-79.58246,42.19081,TRUE
"2306",13802,NA,"Chautauqua","NY",42.07617,-79.2743,"NAD83",4454,0,4464,1590,"ft",102,0,NA,38.89,1360.63,1360.63,484.63,"NAD83",642750.33,4659673.25,43.137231,"NY2308","31013154630000",-79.2743,42.07617,TRUE
"2307",13803,NA,"Chautauqua","NY",42.06964,-79.299,"NAD83",4527,0,4548,1640,"ft",107,0,NA,41.67,1386.23,1386.23,499.87,"NAD83",640721.51,4658907.23,46.12022,"NY2309","31013154640000",-79.299,42.06964,TRUE
"2308",13804,NA,"Chautauqua","NY",42.03031,-79.35301,"NAD83",4624,0,4621,1680,"ft",111,0,NA,43.89,1408.48,1408.48,512.06,"NAD83",636337.31,4654452.75,48.520162,"NY2310","31013154710000",-79.35301,42.03031,TRUE
"2309",13805,NA,"Chautauqua","NY",42.19791,-79.52845,"NAD83",3703,0,3713.5,1510,"ft",96,0,NA,35.56,1131.87,1131.87,460.25,"NAD83",621493.53,4672797.49,38.197631,"NY2311","31013154740000",-79.52845,42.19791,TRUE
"2310",13806,NA,"Chautauqua","NY",42.06221,-79.36419,"NAD83",4416,0,4416,1572,"ft",103,0,NA,39.44,1346,1346,479.15,"NAD83",635344.06,4657976.99,43.5732,"NY2312","31013154760000",-79.36419,42.06221,TRUE
